X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50
-0.8646112,-1.7864058,-1.0762459,7.163229,-2.2975223,-0.96552473,-2.858922,-1.1556536,-1.2444496,-0.43747893,-0.40534952,0.669182,-0.65407515,-0.5712375,-0.17911655,0.10816619,0.4127999,0.5861394,-0.9713322,0.40568525,-0.42900902,0.16321094,-0.25186455,-0.33742666,-0.79648554,0.418511,1.5595146,-0.5574663,0.4884661,0.052804388,-0.31576928,-0.949865,1.2906823,0.4330063,0.6879057,-0.85124224,-1.574893,-0.2313825,1.9222895,-0.3840372,0.253393,0.3559555,-0.46956265,-0.046119705,-0.35175318,-0.6331862,0.31006435,-2.547145,-0.2671337,-0.41780135
-6.645599,-2.587739,1.1346159,-2.0952122,1.2172686,2.0054562,0.45560348,-2.9714878,0.45711616,-0.87243956,-2.197045,-0.6441814,2.0049176,1.4315573,2.1521409,-0.46286502,0.32804933,-1.979345,2.2487655,0.00038243138,-0.766224,-0.93092525,1.0399673,-0.2780439,-1.7634324,0.7387453,-0.038892508,1.3014579,0.13652556,1.8236653,-0.61460286,0.46250653,0.60045195,-0.012485607,0.8482673,0.72939163,0.031799737,-0.17273922,-1.0802764,-0.6505588,1.3233817,3.0753357,-1.4491664,-1.4536073,0.36501777,1.6373867,-2.2353232,0.56913817,-1.0059439,0.2605305
8.214702,0.23316668,-0.8194966,0.12310061,-0.8629723,-2.9533274,1.9311569,-0.8011475,-0.37894464,0.16733527,0.70154554,0.72242117,0.16098732,-0.6233639,-0.9193462,-0.3738083,-0.3385599,0.47195145,1.2379181,-0.18246426,-1.0488303,2.3295321,1.6145862,0.9487714,0.8733607,2.2811127,1.4746331,0.60187006,0.4416488,-0.94630325,-0.9778957,-0.49926847,0.327042,3.396249,2.0268662,1.0701107,0.062210385,-0.3636545,0.39261246,-0.28946832,1.5635505,0.2131916,0.17337921,-0.7697267,-1.3768656,0.19736746,-1.5704535,-0.058297507,-0.97225964,1.5915755
-1.4372773,-2.27819,0.4521345,6.2580695,-2.0983894,-2.569647,-1.0084325,-0.34798768,-1.5367428,-0.41870186,-0.91115934,0.2753435,-1.2886982,-1.6213058,0.11022083,-1.0992703,-1.0077424,-0.20376644,0.16622399,0.84838223,-1.1036856,0.52934355,1.0460643,1.1446799,-1.8770487,1.0469722,-1.453858,-1.2883415,-1.402093,0.21161902,1.1477838,0.18690306,0.8132148,-0.88316286,2.2292,0.756631,-1.0736657,-0.76037,0.97744805,1.1428292,-0.44216463,0.3924409,0.13462919,-0.24429269,0.43630174,1.2125686,-0.9055534,-0.7498439,-0.8566892,1.1471353
6.304808,-1.2098856,-1.8777688,-2.9870746,0.12597169,0.27006018,0.79123527,0.06900386,-1.8727359,1.2312531,1.0991123,0.32748982,0.45517144,-1.4286267,2.54118,-0.065630764,-0.63575506,-0.33011058,-0.516925,-0.9381819,0.938266,-0.033202305,1.3956795,1.3304918,-0.49990973,-2.242223,-0.007565761,-2.3888128,-3.0342853,1.8061967,0.86596495,-1.2308676,1.5166495,-1.2048624,-0.5283655,-0.790284,-1.6630688,0.59105927,-0.5187551,0.15946388,2.2586598,1.1902841,1.785036,-0.042391207,-0.15880737,-0.38420868,0.38447315,0.22929442,0.6276951,1.1262249
8.739925,0.67860156,-0.6146108,-1.0229514,1.1844625,-0.23379688,1.9101965,0.4434117,-1.1831568,-0.051121566,-0.51512504,0.07306446,-1.3431064,1.1564775,-1.2296879,1.521408,-1.9849153,-0.53357404,-0.8786557,-2.470163,0.06260054,-1.5053967,-0.11664636,1.4868791,1.2382984,0.241065,1.2922938,0.068058304,-0.6199533,-1.0542318,-0.21493337,-0.06554291,-0.7593742,-2.5515697,0.21788523,0.9042468,-0.5199489,-1.3442787,0.47860402,-0.17784466,-0.5993047,-1.0436616,-0.33606616,0.13940823,0.9862784,0.5983579,0.86776567,-0.51123047,0.5375207,-0.5605774
-6.9542303,-2.6605995,1.4523959,-1.0364732,-0.36502126,-1.1464298,-1.6642629,1.8703951,1.0539057,0.3992663,1.3474721,0.43200204,-1.3406,1.0058577,0.93829405,1.5816916,-0.08138243,-0.62727225,0.48913315,0.800499,-0.56666917,1.2634428,2.618292,0.12569596,-0.7585019,1.0273726,-2.741019,-0.6300374,0.8113665,-0.29638475,-1.1341588,1.9583434,-2.3352664,1.1803949,0.704554,0.045903057,-0.49089104,1.8013138,-0.2932271,1.2302558,1.6716074,0.31664792,0.89172685,-0.7741597,-0.08460345,-1.0887867,-2.9896514,-1.7936544,0.11475371,-0.86458534
-3.1832025,-0.6972511,-1.1323144,5.975342,0.31822053,-1.1492558,-1.2703177,-0.08413709,-0.31974682,-0.42234635,-0.5617853,0.971259,0.06553817,0.045672666,-0.2295137,-0.25713146,-2.217511,2.4512134,-1.0456309,-1.0432742,-1.7659702,0.78721195,-0.20307672,1.7375203,0.09092699,-1.0113486,1.8130326,1.0650318,-2.8265257,-0.9050431,2.2860525,-0.058579538,-0.9582353,1.1683224,-0.011314561,1.0893339,-0.63647896,-0.0826058,-0.55708015,-1.131667,0.9214765,1.84337,-1.1828425,-1.150671,1.5143336,0.7185552,-1.5625736,-0.65692866,0.08884904,0.3544145
-1.3031942,-1.8369125,-1.2996415,6.978868,-3.876161,-0.77671593,-0.82575494,-1.3623627,-1.9887192,1.5236403,0.5693902,-0.7786209,-0.96654177,-1.2206538,0.045819785,1.9462869,-1.2851268,1.1382402,0.9630677,0.9768137,-2.8500032,0.7327763,2.091969,-0.08717713,-0.3011581,1.7557867,-1.073326,-0.11248025,-2.0061316,-0.890763,-0.49809903,1.0687802,-0.5154642,-0.27058622,0.09694267,-1.8264523,1.7100803,1.0336703,1.8623449,0.22261654,-0.6678485,0.5909278,0.64515555,-1.4484288,0.46821678,0.55399245,-0.7679787,0.3847762,0.84905434,-0.57412547
3.840854,0.52102315,3.4068828,0.02532333,0.5564846,-1.8491725,-0.07585247,1.4259859,0.41187215,-0.18789665,1.7932537,-0.030130127,0.39986718,1.290086,-0.29032847,-0.4238626,-0.12939548,-0.15690975,1.0435421,1.5064384,0.2542242,-0.39469793,1.7553761,0.39867875,-0.88695794,0.04485699,0.83778393,-0.8086215,0.735037,-2.1373603,-0.7842923,0.50517786,-0.5156345,0.209331,1.1339281,0.47357944,-0.9997453,0.7480268,-0.16163035,0.11585716,0.15457018,-1.1470603,-0.7432332,-0.99552405,0.96965474,2.1959953,-0.65506727,0.15225588,-1.0342867,1.5958993
