,gene_ids,n_cells,highly_variable,means,dispersions,dispersions_norm
NOC2L,ENSG00000188976,124,False,0.38650978353753607,1.2866322221872781,-0.59883744
HES4,ENSG00000188290,114,False,0.44771069655725787,1.650568678166658,-0.14219537
ISG15,ENSG00000187608,590,True,2.07657843797639,3.00994753358866,1.0215393
TNFRSF18,ENSG00000186891,51,False,0.21165118315561074,1.5720020076199943,0.22278605
TNFRSF4,ENSG00000186827,78,True,0.3481097210261378,2.2323703146497142,1.4420072
SDF4,ENSG00000078808,163,False,0.5402502102093892,1.4307573249731464,-0.41799933
UBE2J2,ENSG00000160087,135,False,0.43457285333019297,1.3227311221557863,-0.5535431
CPSF3L,ENSG00000127054,94,False,0.29973530022345274,1.2416895697509953,-0.38706133
AURKAIP1,ENSG00000175756,348,False,0.989467209147921,1.5530051551410802,-0.64425075
CCNL2,ENSG00000221978,69,False,0.225046880179185,1.2618774203250722,-0.34978902
RP4-758J18.2,ENSG00000224870,45,False,0.16019572777352806,1.298179641125686,-0.28276518
MRPL20,ENSG00000242485,311,True,0.9034841987455577,2.356891140906131,0.6171907
SSU72,ENSG00000160075,395,False,1.0923857192871633,1.7979725091415515,-0.3194041
MIB2,ENSG00000197530,75,False,0.29820387798277415,1.4901037707007934,0.071579434
CDK11A,ENSG00000008128,78,False,0.24944424093891457,1.2177731919396202,-0.43121755
NADK,ENSG00000008130,86,False,0.2733790624226803,1.2059362190949503,-0.45307183
GNB1,ENSG00000078369,180,False,0.5280305548096401,1.2281807804750275,-0.67217827
C1orf86,ENSG00000162585,231,False,0.6749474133006421,1.2620772146699264,-0.8724597
RER1,ENSG00000157916,301,False,0.838282825718599,1.2684201361144192,-0.86382926
RP3-395M20.12,ENSG00000272449,89,False,0.3032575157012439,1.433953028146562,-0.032090243
TNFRSF14,ENSG00000157873,285,False,0.8013213333353661,1.2277948858237662,-0.9191057
WRAP73,ENSG00000116213,51,False,0.1818037572394773,1.48338314850069,0.05917132
LRRC47,ENSG00000130764,50,True,0.19532897053076392,2.1848856257184615,1.3543373
C1orf174,ENSG00000198912,68,False,0.23647295587939016,1.362999170965103,-0.16309053
KCNAB2,ENSG00000069424,136,False,0.43712563524211795,1.2891160734141323,-0.5957209
RPL22,ENSG00000116251,776,False,2.226285928619227,1.5946683710954994,-1.2718291
